reviewer_name,review_time_diff,review_rating
TRUSH,"> 50 days",good
tj32c,"< 10 days",good
LloydSev,"< 10 days",good
Rhobz,"< 10 days",good
luoni,"< 10 days",good
UnkieB,"< 10 days",good
jgarren,"< 10 days",good
sclasen,"< 10 days",good
bones_79720,"< 10 days",good
penance,"< 10 days",good
mwillford,"< 10 days",good
smileyrick101,"< 10 days",good
ELVISGRYBA,"< 10 days",good
dtroyer,"< 10 days",good
Staind4x4,"< 10 days",good
richardf4,"< 10 days",good
"pank floyd","< 10 days",good
stevethemusicman,"< 10 days",good
feelgood13,"< 10 days",good
dbadics187,"< 10 days",good
berfurd,"> 50 days",good
lvader,"< 10 days",good
radarblip,"> 50 days",good
phatchopolis,"< 10 days",good
monkiedjwj,"< 10 days",good
alr8496,"< 10 days",good
anarion55,"< 10 days",good
badcqd,"< 10 days",good
Tadysak,"< 10 days",good
DragonMage,"< 10 days",good
wjijr,"< 10 days",good
dpfiffe,"< 10 days",good
oneout,"< 10 days",good
cotoole,"< 10 days",good
SnoopyBQ,"< 10 days",good
invar,"< 10 days",good
jeff.hardy,"< 10 days",good
voodoochile,"< 10 days",good
torda,"< 10 days",good
numb401,"< 10 days",good
wldkntry1,"< 10 days",good
mgm04,"< 10 days",good
teutonic,"< 10 days",good
petef,"< 10 days",good
nc3780,"< 10 days",good
prettyslick101,"> 50 days",good
Vaughn31,"< 10 days",good
woofybear,"< 10 days",good
Aviator747,"< 10 days",good
kman22,"< 10 days",good
Chizotz,"> 50 days",good
csquared49,"< 10 days",good
NIBSLAYER,"< 10 days",good
monty365,"> 50 days",good
"R Bartley","< 10 days",NULL
soon,"< 10 days",good
caggenbach,"< 10 days",good
bhvols,"< 10 days",good
Brink,"< 10 days",good
g3pro,"< 10 days",good
steelcracker,"< 10 days",good
jimbo0u812,"< 10 days",good
managerndr,"< 10 days",good
BriSleep,"> 50 days",good
"Dennis Perrine","< 10 days",NULL
xiaowugui,"< 10 days",good
aviationwiz,"> 50 days",neutral
gamemaster000,"< 10 days",good
truckensafely,"> 50 days",good
anjosborne,"< 10 days",good
mrimatt63,"< 10 days",good
kctogether,"< 10 days",good
"mike spitzer","< 10 days",good
BBP,"< 10 days",good
datalink,"< 10 days",NULL
Mr_Smithers,"> 50 days",good
malik2g,"< 10 days",good
nantucketbob,"< 10 days",good
resteazy,"< 10 days",good
moparules,"< 10 days",good
chowman16,"< 10 days",good
eksen,"< 10 days",good
jhufruitcake,"< 10 days",good
paulmclandrich,"< 10 days",good
BJ,"< 10 days",good
dino_246,"< 10 days",good
simmonsp23,"< 10 days",good
wheelesa,"> 50 days",good
dadavis75,"< 10 days",good
geoffala,"< 10 days",good
mile_high,"> 50 days",good
Kowan,"< 10 days",good
Xguardian0,"> 50 days",good
rgmvoegl,"< 10 days",good
Shinaru,"< 10 days",good
Hoppes,"< 10 days",good
pelazem,"< 10 days",good
rboy,"< 10 days",good
fernman,"< 10 days",good
tonyg316,"< 10 days",good
darev69,"< 10 days",good
rwestbrock,"> 50 days",good
firetoad,"> 50 days",good
raikol,"< 10 days",good
jbrianpope,"< 10 days",good
junwu2000,"< 10 days",good
mfbogis,"< 10 days",good
olddude28601,"< 10 days",good
trevp316,"< 10 days",good
richekgcom,"< 10 days",good
sonar,"< 10 days",good
Damion,"11 to 50 days",good
chowur,"< 10 days",good
mightymouse7783,"< 10 days",good
Beniled,"< 10 days",good
drewc3,"11 to 50 days",good
santacruztech,"< 10 days",good
clearanceman1,"< 10 days",good
Clearanceman,"< 10 days",NULL
bdally,"< 10 days",good
billnapier,"< 10 days",good
Trevinator,"< 10 days",good
"Tom Nieling","< 10 days",good
ppetros,"< 10 days",good
STiNGER,"< 10 days",good
gemlong,"< 10 days",good
robotikz,"< 10 days",good
gws226,"< 10 days",good
aka22,"< 10 days",good
charliemike,"< 10 days",good
rpertusio,"> 50 days",good
jrfuda,"< 10 days",good
jchoit,"< 10 days",good
embj,"> 50 days",good
Rondo,"< 10 days",NULL
dkinder45,"< 10 days",good
baileybear,"< 10 days",good
g4yvul7ur3,"< 10 days",good
sirmarkas,"< 10 days",good
boondox,"< 10 days",good
rbennett,"< 10 days",good
packratlouie,"< 10 days",good
williamtheis,"< 10 days",good
AsianSnowMonkey,"< 10 days",good
wilsonpm,"< 10 days",good
imagotech,"< 10 days",good
"Magic FT","< 10 days",good
Rmk1130,"< 10 days",good
brascoe,"< 10 days",good
mhernandez,"< 10 days",good
monelpipe,"< 10 days",good
"Nick Rand","> 50 days",good
"Mr Plow","< 10 days",good
ratethem,"< 10 days",good
Crush,"< 10 days",good
frigid,"< 10 days",good
smr49,"> 50 days",good
FREDECS,"> 50 days",good
cybertech3428,"< 10 days",good
grassmj,"< 10 days",good
CyberScott,"< 10 days",good
cwurzler,"< 10 days",good
GRANDDADDYBEAR,"< 10 days",good
muddawber,"< 10 days",good
jallison,"< 10 days",good
1180fps,"< 10 days",good
ADOLFROMMEL42,"< 10 days",good
dbuffo,"< 10 days",good
Badash7,"< 10 days",good
scottie_c,"< 10 days",good
r7sass,"< 10 days",good
keeferama,"< 10 days",good
logosmani,"< 10 days",good
voiceacid,"< 10 days",good
onekajun,"< 10 days",good
garvoir,"< 10 days",good
mongr,"< 10 days",good
Kostas7GTR,"< 10 days",NULL
nlyra,"< 10 days",good
center44,"< 10 days",good
rreffe,"< 10 days",good
shadowwraith,"< 10 days",good
dhulick,"< 10 days",NULL
nono70,"< 10 days",good
Kw4847,"< 10 days",NULL
s3rv3r,"< 10 days",good
kstatejoe,"< 10 days",good
dumone,"< 10 days",good
torgog,"< 10 days",good
Takoeye3,"< 10 days",good
nbostic,"< 10 days",good
mweiss1009,"< 10 days",good
Larry63,"< 10 days",good
excelsior666,"< 10 days",good
Tadi_9,"< 10 days",good
Jetdeck,"< 10 days",good
braddogg,"< 10 days",good
"Jeff P","< 10 days",good
jappleg,"< 10 days",good
mraymer,"< 10 days",good
"John LA","> 50 days",good
BuzzkiLL,"< 10 days",good
Stingo,"< 10 days",good
oldmanjk,"< 10 days",good
scroll,"< 10 days",good
kirkdecker,"< 10 days",good
anthemion,"< 10 days",good
j0eb0b,"> 50 days",NULL
dougledbetter,"< 10 days",good
jtcb,"< 10 days",good
zturi,"> 50 days",good
mkilgour,"< 10 days",good
plover,"< 10 days",good
Kent,"> 50 days",good
Pavemobile,"< 10 days",good
mcedan,"< 10 days",good
zarquon,"< 10 days",good
decee,"< 10 days",good
z3scott,"< 10 days",good
Zevorym,"< 10 days",good
mak4570,"< 10 days",good
jammin1911,"< 10 days",good
PHATAL_ONE,"< 10 days",good
moboyle,"< 10 days",good
lavab84615,"11 to 50 days",good
jac62,"< 10 days",good
pfjr,"< 10 days",NULL
fr0zon,"< 10 days",good
dahotrods,"< 10 days",good
bigbodino,"< 10 days",good
footnyoass,"< 10 days",NULL
xpac5896,"< 10 days",good
Valafar,"> 50 days",good
satdude,"< 10 days",good
stewartjames,"< 10 days",good
fastrthnu,"< 10 days",good
jrinkenb,"> 50 days",good
mtldemon,"< 10 days",good
antize,"< 10 days",good
Smitty1958,"< 10 days",good
spitfireusn,"< 10 days",good
rosebud,"< 10 days",good
salguod,"< 10 days",good
brat1963,"< 10 days",good
Deadweight,"> 50 days",good
powder14,"< 10 days",good
DKEDRO,"< 10 days",good
"Critical Factor","< 10 days",good
jorj,"< 10 days",good
alchamy,"< 10 days",good
"Daniel Grafton","< 10 days",good
mmaks,"< 10 days",good
frydog,"< 10 days",good
CoolerMaster,"< 10 days",good
dfrendo,"< 10 days",good
xenalovesgabby,"< 10 days",good
bobber,"< 10 days",good
sgu222e,"< 10 days",good
l337fisher,"< 10 days",good
heldicus,"< 10 days",good
wonderwrench,"< 10 days",good
Woodbu,"< 10 days",good
BirdTrio99,"> 50 days",good
Patrick1000,"> 50 days",good
digiph,"< 10 days",good
Gagz,"> 50 days",good
mcreaper2001,"< 10 days",good
lfroberts,"> 50 days",good
vboccio,"< 10 days",good
roydk740,"< 10 days",bad
UnoKip,"11 to 50 days",bad
Barak_P,"> 50 days",good
JohnS186161,"< 10 days",good
gammaray,"< 10 days",good
wselby,"< 10 days",good
Hex92,"> 50 days",good
AMD4life,"< 10 days",good
gmorita,"> 50 days",good
cgravil,"< 10 days",good
Sfries,"< 10 days",good
Toonz,"< 10 days",good
nublet,"< 10 days",good
Rangerblueshirt,"< 10 days",good
JonP01,"< 10 days",good
dryfloorcone,"< 10 days",good
dedxi,"< 10 days",good
davez53,"< 10 days",good
Droppyale,"< 10 days",good
bshnitzler,"< 10 days",good
knighteyes,"< 10 days",good
vo0do0,"> 50 days",good
Spungy,"< 10 days",good
"Brass Balls","< 10 days",good
Ckanderson,"11 to 50 days",good
JoeS,"< 10 days",good
slvrathlon,"< 10 days",good
RoyArey,"< 10 days",good
shaneg,"< 10 days",good
jetro,"< 10 days",good
rwysocki,"< 10 days",good
yankee,"< 10 days",good
anton06,"< 10 days",good
"Lonnie Saloga","< 10 days",good
UltraMgaMn,"< 10 days",good
"Rod Elliott","< 10 days",good
rrforevr,"< 10 days",good
KeepItSimpleEngr,"< 10 days",good
ivchd,"< 10 days",good
rsteele68,"< 10 days",good
vic451,"< 10 days",good
Son93sl2,"< 10 days",good
taggert,"< 10 days",good
kohnte,"< 10 days",good
daneldon,"< 10 days",good
AKTony,"> 50 days",good
Cheshireman,"< 10 days",good
Compnird,"< 10 days",good
cumulus,"< 10 days",good
lordofich,"11 to 50 days",good
david_avila,"< 10 days",good
ac,"< 10 days",good
crazygoat,"< 10 days",good
melissad,"< 10 days",good
demples2,"< 10 days",good
Mod_God,"11 to 50 days",good
djanko93,"< 10 days",good
SheenL,"> 50 days",good
gladi8or,"< 10 days",good
otomo,"< 10 days",good
hotsushi,"< 10 days",good
ralphygee,"< 10 days",good
KeithB,"< 10 days",good
Brumbar,"> 50 days",good
NeutralGold,"< 10 days",good
Frunobulax,"< 10 days",good
spersing@msn.com,"< 10 days",good
Frybob1958,"< 10 days",good
"Massive Overkill","< 10 days",good
cronus1914,"< 10 days",good
sriordan42,"< 10 days",good
theaavi,"< 10 days",good
endeavor27,"< 10 days",good
stevenjolie,"< 10 days",good
nullvector,"< 10 days",good
bvogt2,"< 10 days",good
gregscott,"< 10 days",good
abcyr,"> 50 days",good
erickn,"< 10 days",good
asfd,"< 10 days",good
kenb1963,"< 10 days",good
createpchex,"< 10 days",good
hansbroken,"< 10 days",good
"Aaron F.","< 10 days",good
Derek071,"> 50 days",good
roozoo,"< 10 days",good
hawksterx,"< 10 days",good
paulw9,"< 10 days",good
Dracula666,"< 10 days",good
"Gerald Kappa","< 10 days",good
rbunz,"< 10 days",good
mwnn,"< 10 days",good
bsoft,"> 50 days",good
CJgard,"< 10 days",good
davybaby,"> 50 days",good
hoeffer,"< 10 days",good
blueangell,"< 10 days",good
asharpe,"< 10 days",good
pmcdougal,"< 10 days",good
ATH200,"< 10 days",good
rewade63,"< 10 days",good
cobere32,"< 10 days",good
ResTech,"< 10 days",good
anisakid,"< 10 days",good
kb6183,"> 50 days",good
Caez,"< 10 days",good
Brad900,"< 10 days",good
Wedge1024,"< 10 days",good
byeatman,"< 10 days",good
Manaknight,"> 50 days",good
MrGadget52,"< 10 days",good
"Harijs Buss","< 10 days",good
akaap,"< 10 days",good
Xando1027,"11 to 50 days",good
B_George,"< 10 days",good
Visual1,"11 to 50 days",good
BMan808,"> 50 days",good
charlesboudreaux,"< 10 days",good
Asmodean56,"< 10 days",good
jo3sh,"< 10 days",good
rolf,"< 10 days",good
clark9cd,"< 10 days",good
andy98687,"< 10 days",good
CausticPuppy,"< 10 days",good
justtom,"> 50 days",good
DNI,"< 10 days",good
P_Mac,"< 10 days",good
CatHerder,"< 10 days",good
theekillerbee,"> 50 days",good
mfosta,"< 10 days",good
TimeLord,"> 50 days",good
/dev/rhetorical,"< 10 days",good
rob_volcano9,"< 10 days",good
gswan80,"> 50 days",good
silverthornne,"< 10 days",good
mtyler11,"< 10 days",good
cdracer,"< 10 days",good
dbb970s,"< 10 days",good
Chiguy,"> 50 days",good
Chetti,"> 50 days",good
Mustang_Marty,"< 10 days",good
Rgarcia99,"< 10 days",good
gregsurbey,"< 10 days",good
gonzo8,"< 10 days",good
hoffbrau,"> 50 days",good
"Gandalf from OC","< 10 days",good
akgal,"< 10 days",good
jeremys,"< 10 days",good
maddmaxx72,"< 10 days",good
jbmagic,"< 10 days",good
j.m@talk21,"< 10 days",good
silencer,"< 10 days",good
Rafe,"> 50 days",good
Moose1974,"> 50 days",good
pasbman,"< 10 days",good
josh120775,"> 50 days",good
tvh2k,"< 10 days",good
"jimmy cobra","< 10 days",good
boston,"> 50 days",good
standingntruth,"< 10 days",good
mino,"< 10 days",good
Hansaman,"< 10 days",good
Madstrom,"> 50 days",good
theKfunk,"< 10 days",good
visionguru,"< 10 days",bad
DXX,"< 10 days",good
tinkererguy,"< 10 days",good
clh61,"< 10 days",good
wichita,"> 50 days",good
MageMinds,"< 10 days",good
AZK6er,"< 10 days",good
flanker12k,"< 10 days",good
integlspwr,"> 50 days",good
onefitter,"< 10 days",good
rotide,"< 10 days",good
Merkades,"< 10 days",good
"david briggs","< 10 days",good
lilbean,"> 50 days",good
nhokt,"< 10 days",good
TrooperDeth,"< 10 days",good
samiraj,"< 10 days",good
davick21,"> 50 days",good
joclent,"< 10 days",good
bravosix1,"< 10 days",good
juggalo71,"> 50 days",good
pat385,"< 10 days",good
SKennedy,"< 10 days",good
djmorse,"< 10 days",good
mrf666,"> 50 days",good
gjwiley,"< 10 days",good
MikeLustig,"< 10 days",good
kennyc28,"< 10 days",good
techiem2,"< 10 days",good
locutus_MP,"> 50 days",good
terrybarne,"> 50 days",good
michael0048487,"> 50 days",good
JasonF1978,"< 10 days",good
bcpowder,"< 10 days",good
figgypower,"> 50 days",good
ambunus,"< 10 days",good
RPM123,"< 10 days",bad
hpanzer,"< 10 days",bad
geraldsmom,"< 10 days",bad
jenna45,"< 10 days",bad
Mexi001,"< 10 days",bad
alec_kristi,"< 10 days",bad
filequit,"< 10 days",bad
dkcaudill,"< 10 days",bad
Rentor,"< 10 days",neutral
chapdarre,"< 10 days",bad
Swannyjr,"< 10 days",good
bmackie9,"< 10 days",good
bkeeler,"< 10 days",good
timschmerbeck,"< 10 days",good
jmize,"< 10 days",good
randyl123,"< 10 days",good
signal77,"< 10 days",good
mcvetyty,"< 10 days",good
jonzavala,"< 10 days",good
jarhead6999,"< 10 days",good
wlhawkins,"< 10 days",good
john71,"< 10 days",good
dfcIT,"< 10 days",good
eprice3051,"< 10 days",good
daham33,"< 10 days",good
MrDoh,"< 10 days",good
"Randy News","< 10 days",good
ghostroads,"< 10 days",good
techdude1129,"< 10 days",good
"Chuck Hollowak","< 10 days",good
benaun,"< 10 days",good
bschift,"> 50 days",good
retcsr,"< 10 days",NULL
papaj11,"> 50 days",bad
ripoff1stchoice,"< 10 days",bad
annoying5,"< 10 days",bad
ASCOTT,"< 10 days",NULL
ron946,"< 10 days",good
kdimal08,"< 10 days",good
jimh54,"< 10 days",bad
elmcomputers,"< 10 days",good
gkk,"< 10 days",good
rwmillerjr,"< 10 days",good
ipinnacle,"< 10 days",good
KenTreybig,"< 10 days",good
sanpanda,"< 10 days",good
marioci,"< 10 days",good
Bi0NicSQUiD,"> 50 days",good
GJMCCORMICK,"< 10 days",good
knightnemesis,"< 10 days",good
rchapman4697,"11 to 50 days",good
jlever,"< 10 days",good
queenamy,"< 10 days",bad
Vol_Fan,"< 10 days",good
lucasboy,"> 50 days",good
foregibbs,"< 10 days",good
michaelvedok,"< 10 days",good
cgolfer12,"< 10 days",good
hanshew527,"< 10 days",good
JoeMC7,"< 10 days",good
mal1,"< 10 days",good
mckemie,"< 10 days",good
Hawkmn,"< 10 days",good
somecomputerguy,"> 50 days",good
jeff_martinxp,"< 10 days",good
"djc clay","< 10 days",good
clydesdale16,"< 10 days",good
dovepoint,"> 50 days",bad
statefarms,"< 10 days",good
tsantanni,"< 10 days",good
bjk504030,"< 10 days",good
ssthomas,"< 10 days",good
rltchess,"11 to 50 days",bad
patshrum1,"< 10 days",good
Jim1938,"< 10 days",good
GeeJaa,"< 10 days",good
tara4games,"< 10 days",good
frogman16,"< 10 days",bad
Darkchylde1234,"< 10 days",good
Danielooo,"> 50 days",bad
garydavids,"< 10 days",good
batusai2300,"< 10 days",bad
BHaugen,"< 10 days",bad
tictx,"< 10 days",good
JayMetsteen,"< 10 days",good
Alan103,"< 10 days",good
thits666,"< 10 days",good
Monst,"< 10 days",NULL
mhaag3,"< 10 days",good
JFeik,"< 10 days",good
profeta,"< 10 days",good
rhand,"< 10 days",good
mcdfam2,"< 10 days",good
talehound,"< 10 days",good
scottpclark,"< 10 days",good
envirocbr,"< 10 days",good
jasiffe,"< 10 days",good
jimsith,"< 10 days",good
Carlow,"< 10 days",good
"Kurt Kettler","< 10 days",bad
slockhart2008,"< 10 days",good
billawulla,"< 10 days",good
karlerm1,"< 10 days",good
killsuckers,"< 10 days",good
billzot,"< 10 days",good
pmc04,"< 10 days",good
kalebridge,"< 10 days",good
prichmo,"< 10 days",bad
stephenc1,"< 10 days",NULL
CrashEZ,"< 10 days",good
crashfly,"< 10 days",neutral
usmc198,"< 10 days",good
gilrodn,"< 10 days",good
got2liv4him,"< 10 days",good
blegrand,"< 10 days",good
p8011,"< 10 days",good
Lalter,"< 10 days",good
covallat,"< 10 days",good
OldJes,"< 10 days",good
PhiPhun,"< 10 days",good
plauria1,"< 10 days",good
jacksojj,"< 10 days",good
48hours,"< 10 days",good
ickysticky,"< 10 days",good
venereo,"< 10 days",good
imups,"< 10 days",good
artiemills,"< 10 days",good
victor_vega,"< 10 days",good
yonkoc,"< 10 days",bad
sandpaper600,"< 10 days",good
uzr1,"< 10 days",good
tdragovich,"< 10 days",good
edwardamason,"< 10 days",good
dumbphaek,"< 10 days",neutral
utcharles,"< 10 days",bad
lmiller1,"< 10 days",good
3ziggies,"< 10 days",good
rdalbin,"< 10 days",good
alancable9,"< 10 days",good
drewpydeg,"< 10 days",good
ocheapone,"< 10 days",good
erniewu,"< 10 days",good
harmon_d,"< 10 days",bad
burns8839,"< 10 days",good
szamantakis,"< 10 days",good
humfleet,"< 10 days",good
njforgacs,"< 10 days",good
roz62,"< 10 days",bad
rob_10walde,"< 10 days",good
burkemw,"< 10 days",good
hydroasi,"< 10 days",good
jimbaer,"< 10 days",good
artifexd,"< 10 days",good
merkidemis,"< 10 days",good
FlaJohn,"< 10 days",bad
Baghdadfire,"< 10 days",good
ypatsy,"< 10 days",good
digitalon,"< 10 days",good
jerryt74332,"< 10 days",good
rayceballos,"< 10 days",good
pelandry,"< 10 days",good
gmorpheus,"< 10 days",bad
BetterSource,"< 10 days",good
Robb_in_tn,"< 10 days",good
Schpdink,"< 10 days",good
muffinsdamomma,"< 10 days",good
adrew,"< 10 days",good
aaronwolfe,"< 10 days",good
avatarofapathy,"< 10 days",good
gpm101,"< 10 days",good
bkirkwood,"< 10 days",good
cwardell,"< 10 days",good
xtof1115,"< 10 days",good
jerryv13,"< 10 days",good
larryny,"< 10 days",good
ghado100,"< 10 days",good
snake5875,"< 10 days",good
"Purple Rose","< 10 days",good
jnrwacker,"< 10 days",neutral
jim.sokytechno,"< 10 days",good
Kirgen,"< 10 days",good
bjlundy,"< 10 days",good
cwshirin,"< 10 days",good
mewcrw,"< 10 days",good
BobP48732,"< 10 days",good
pcboat,"< 10 days",good
bearhat,"< 10 days",good
nickmi05,"< 10 days",good
markdierking,"< 10 days",good
nacho1234,"< 10 days",good
jsemotchko,"< 10 days",good
mrfixerman,"< 10 days",neutral
bostongamer,"< 10 days",good
scottythree,"< 10 days",good
Litlratt,"< 10 days",good
kmullinex,"< 10 days",good
xseraphx,"< 10 days",good
sfitzen,"< 10 days",good
dicktrain,"< 10 days",good
mickietee,"< 10 days",good
santacrzu_212,"< 10 days",good
ldb23486,"< 10 days",good
asrome,"< 10 days",good
wvalzania,"< 10 days",good
Kbeeler,"< 10 days",good
andrewevie,"< 10 days",good
sentientpuppet,"< 10 days",neutral
imjeffreychung,"< 10 days",good
gramsterix,"< 10 days",good
inputfield,"< 10 days",good
himiro,"11 to 50 days",good
jwaskovich,"< 10 days",good
mholcombe28269,"< 10 days",NULL
melobrice,"< 10 days",good
thesawolf,"< 10 days",good
carluvr,"< 10 days",good
ifellforyou,"< 10 days",good
chorobe,"< 10 days",good
pogione,"< 10 days",good
dogs4kids,"< 10 days",good
joe56484223,"< 10 days",good
m.prowler,"< 10 days",good
yvonne200710,"< 10 days",good
RikTav,"< 10 days",good
wwesleyw,"< 10 days",good
FieldComputers,"< 10 days",neutral
chiefvinnie,"< 10 days",good
tnewman99,"< 10 days",good
itstimt,"< 10 days",good
foolxxx,"< 10 days",good
snic68,"< 10 days",bad
forestguy57,"< 10 days",good
bcromwell,"< 10 days",NULL
mrbarry,"< 10 days",good
nedc,"< 10 days",good
MichaelDant,"< 10 days",good
mrupc2000,"< 10 days",good
salgutierrez,"< 10 days",good
dodred,"< 10 days",good
Todesangst,"< 10 days",good
dustball26,"< 10 days",good
johnbcoburn,"< 10 days",good
rockydeerinck,"< 10 days",good
dappa_wa,"< 10 days",good
amp1213,"< 10 days",good
Shanaruhuen,"< 10 days",bad
timmm,"< 10 days",bad
AADick,"< 10 days",NULL
ebayer,"> 50 days",good
absolution,"< 10 days",NULL
martinmarek,"> 50 days",bad
jaychillen,"< 10 days",bad
sammy66062,"> 50 days",bad
dontbuyhere,"< 10 days",bad
bakageta,"< 10 days",good
unguras,"< 10 days",good
caspercan,"< 10 days",bad
mendaliv,"< 10 days",bad
kjwarnock,"< 10 days",bad
hstroud,"< 10 days",good
adamh314,"< 10 days",good
treteam,"> 50 days",bad
jjbowden,"< 10 days",bad
slam121212,"< 10 days",bad
-mike-o-,"< 10 days",bad
viper_7626,"> 50 days",bad
Qtip42,"> 50 days",bad
nrupp,"< 10 days",good
joeslone,"11 to 50 days",good
LillysDaddy,"< 10 days",bad
ocsoK-9,"> 50 days",good
ctijake,"< 10 days",bad
makcnyus,"< 10 days",good
bloodletr,"11 to 50 days",good
buggaboo333,"< 10 days",bad
psimitry,"> 50 days",bad
tedinde,"> 50 days",good
davehay,"< 10 days",good
danielohunter,"> 50 days",good
sfsilicon,"> 50 days",neutral
Lehjr,"< 10 days",bad
addies,"11 to 50 days",good
joako,"> 50 days",good
rjn48tnt,"> 50 days",good
aronc,"< 10 days",good
galastarr,"< 10 days",good
PsycoBobQ2,"< 10 days",good
texasag,"< 10 days",bad
fear_nothing,"< 10 days",bad
nicolelschra,"< 10 days",bad
Brock10E,"< 10 days",bad
Webgod,"< 10 days",bad
SpunOne,"11 to 50 days",bad
Spot,"< 10 days",bad
lhorwinkle,"> 50 days",bad
blindmaster6,"< 10 days",bad
behindthebadge,"> 50 days",bad
Bart,"> 50 days",good
RCamejo,"< 10 days",bad
chesmon,"11 to 50 days",good
tom0607,"> 50 days",good
nickincalifornia,"< 10 days",good
mukki,"< 10 days",bad
Juanito001,"< 10 days",bad
cle,"< 10 days",bad
kalrith,"< 10 days",bad
johnstondale,"> 50 days",good
rblack,"< 10 days",good
xbecik,"< 10 days",bad
apriest,"> 50 days",bad
PowerXP,"< 10 days",bad
HiFlyer,"11 to 50 days",bad
sonicfan11,"< 10 days",bad
chris1987112,"< 10 days",good
ljfnord,"> 50 days",good
quijbe,"< 10 days",good
mzippro,"> 50 days",good
MOTTZ,"< 10 days",good
DL1154,"< 10 days",bad
Neda,"< 10 days",bad
pilsener8,"< 10 days",good
sstreitfeld,"> 50 days",good
jf0333,"< 10 days",bad
photoman5150,"< 10 days",good
f1michael,"< 10 days",bad
megaduke,"< 10 days",bad
Rhinoscope,"< 10 days",bad
hmic718,"< 10 days",bad
colmbr1,"< 10 days",NULL
pryght,"< 10 days",bad
axilaris,"< 10 days",good
sumboy,"< 10 days",good
suztv,"< 10 days",bad
smithnwesson,"11 to 50 days",NULL
21globalshop,"< 10 days",good
Simogap,"< 10 days",NULL
rozy,"< 10 days",good
arpitthakar,"< 10 days",good
WillLa,"< 10 days",good
raff3322,"< 10 days",good
hsindaowoo,"< 10 days",good
leexray,"> 50 days",good
Mr3dfx,"> 50 days",good
wlocasto,"> 50 days",bad
vlendel,"< 10 days",good
uligoetz,"< 10 days",NULL
kolumbo21,"< 10 days",good
Rms1234,"< 10 days",good
qJs,"< 10 days",bad
Bholtzinger,"< 10 days",good
dotero2010,"< 10 days",bad
racerdan45,"< 10 days",bad
user4409,"< 10 days",good
jeffhirk,"> 50 days",good
CheesusCrust2000,"< 10 days",bad
dystra,"< 10 days",bad
sailorchris,"< 10 days",bad
e_bennett78,"< 10 days",good
Carthax,"< 10 days",bad
aaronmassie,"< 10 days",good
KingKong,"> 50 days",bad
gozey,"< 10 days",bad
mago1978,"< 10 days",bad
bbobbo,"> 50 days",bad
yamminobi,"> 50 days",good
slohand5,"< 10 days",good
AltruismIsDead,"< 10 days",good
toddw,"11 to 50 days",good
sbrady77,"> 50 days",bad
Bill_A,"> 50 days",good
craynkshaft,"< 10 days",neutral
lowemarn,"< 10 days",bad
lhasa,"< 10 days",bad
rakeshsingh21,"> 50 days",good
toddw,"11 to 50 days",good
aszxas,"> 50 days",good
darklight_tr,"> 50 days",good
MATT025,"> 50 days",good
ggeorgetx,"> 50 days",good
normajeana,"< 10 days",good
techmaven,"> 50 days",good
rtc917,"< 10 days",bad
Ksam,"< 10 days",bad
mcx6,"> 50 days",NULL
msassist,"< 10 days",bad
Carpeskium,"< 10 days",good
hybridlife,"11 to 50 days",bad
johnb41,"< 10 days",good
MCC0304,"< 10 days",bad
Raistlen38,"< 10 days",good
keywestcuda,"> 50 days",good
lshnaider,"11 to 50 days",bad
pamman,"< 10 days",good
warnerpeter,"> 50 days",bad
Crixis,"< 10 days",bad
DeadLamb,"< 10 days",bad
sgirardier,"> 50 days",good
kenmullins,"< 10 days",bad
Jabes,"> 50 days",bad
xime,"> 50 days",bad
lemuel,"> 50 days",good
Aranesp,"< 10 days",good
DexX,"> 50 days",good
starider7,"> 50 days",good
hao2002,"< 10 days",good
ac0604,"> 50 days",good
siffert,"< 10 days",good
egale,"> 50 days",bad
tomdrobin,"11 to 50 days",good
robmeyer,"11 to 50 days",good
sos411,"11 to 50 days",good
eric.toss,"> 50 days",bad
cbwalton,"> 50 days",neutral
ram434,"11 to 50 days",good
dslknight,"< 10 days",good
TerroH8er,"< 10 days",good
CelicaOne,"< 10 days",good
ShagnWagn,"< 10 days",good
dcnbc,"< 10 days",good
skyrocker,"< 10 days",bad
wiseoracle,"11 to 50 days",good
Steveme,"> 50 days",bad
LUVMYAMD,"> 50 days",good
NickBlasta,"> 50 days",good
Hobbiticus,"< 10 days",good
"Full Flex","< 10 days",good
mjthomp,"< 10 days",good
Hadex,"< 10 days",bad
bluzeman10,"< 10 days",good
JohnHelsel,"< 10 days",good
runmeshaw,"< 10 days",good
JESSICA,"11 to 50 days",good
One4yu2c,"< 10 days",good
freaknu8,"< 10 days",good
Insey,"< 10 days",good
f8y39m,"> 50 days",good
doc007,"> 50 days",good
z0ner,"> 50 days",good
doug58895,"> 50 days",good
dinosaurs,"< 10 days",good
SailCat,"> 50 days",good
mattwebb80,"< 10 days",good
stebog,"< 10 days",bad
standish96,"< 10 days",good
phil345,"> 50 days",good
wilber123,"< 10 days",good
Kromwell,"< 10 days",good
6_stringbass,"< 10 days",good
nman72,"11 to 50 days",good
Procyon1,"11 to 50 days",good
MCollette,"< 10 days",good
gd101,"< 10 days",good
RDA,"< 10 days",good
thingejf,"> 50 days",good
c4msl,"< 10 days",good
kamranziadar,"< 10 days",good
UKbJamN,"> 50 days",good
henryt_97,"< 10 days",good
Faust_ae,"< 10 days",good
Custommod,"< 10 days",good
